ID,STANDARD_VALUE,smiles
P47900,-0.82,CC(C)C1=NC(=CS1)NC(=O)NC2=CC=CC=C2N3CC4(CCN(CC4)CC(C)(C)C)C5=C(C=CC(=C53)O)C(F)(F)F
P47900,-0.833,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=CC=N6
P47900,-0.643,CC(C)C1=NSC(=N1)NC(=O)NC2=CC=CC=C2N3CC4(CCN(CC4)CC(C)(C)C)C5=C(C=CC(=C53)O)Cl
P47900,-1.176,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NC=C(S3)C4=CC=CC=C4
P47900,-3.4,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O
P47900,-2.176,CC(C)CN1CCC(CC1)C2=CC=CC=C2OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-1.362,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=CC=C6)F
P47900,-1.699,CCC1=CC=CC=C1N2C(=CC(=N2)C)OC3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-0.973,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)OC
P47900,-4.876,CC1=NC2=C(N1C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O)N=CN=C2N
P47900,-1.079,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=CC=C6)F
P47900,-2.431,C1=CC=C(C=C1)N2C(=CC=N2)OC3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC(F)(F)F
P47900,-0.792,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC(=O)NC5=CSC(=N5)Cl
P47900,-2.956,CNC1=C2C(=NC=C1)N(C=N2)C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O
P47900,-2.94,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NNC(=C3)C4=CC=CC=C4
P47900,-1.253,CC(C)C(=O)N1CCC2=C(C1)SC(=N2)NC(=O)NC3=CC=CC=C3N4CC5(CCN(CC5)CC(C)(C)C)C6=C(C=CC(=C64)O)Cl
P47900,-1.477,CC1=NN(C(=C1)OC2=CC=CC=C2NC(=O)NC3=CC=C(C=C3)C4CCCC4)C5=CC=CC=C5Cl
P47900,-0.756,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C#N)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)Cl
P47900,-1.199,CCN(CC)S(=O)(=O)C1=C2C(=C(C=C1)O)N(CC23CCN(CC3)CC(C)(C)C)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)Cl
